key,text,english,notes,tag,checked
life-expectancy2,(Salme 90:10),(Psalm 90:10),2024-11-29,bible,False
Ham,Skinke,Ham,Gen 10:1,bible,False
Canaan,Kanaan,Canaan,Gen 10:6,bible,False
Sidon,Sidon,Sidon,Gen 10:15,bible,False
Heth,Heth,Heth,Gen 10:15,bible,False
Jebusite,Jebusitt,Jebusite,Gen 10:16,bible,False
Amorite,Amoritt,Amorite,Gen 10:16,bible,False
Girgashite,Girgashite,Girgashite,Gen 10:16,bible,False
Hivite,Hivite,Hivite,Gen 10:17,bible,False
Arkite,Arkite,Arkite,Gen 10:17,bible,False
Sinite,Sinitt,Sinite,Gen 10:17,bible,False
Arvadite,Arvadite,Arvadite,Gen 10:18,bible,False
Zemarite,Zemarit,Zemarite,Gen 10:18,bible,False
Hamathite,Hamatitt,Hamathite,Gen 10:18,bible,False
Cush,Cush,Cush,Gen 10:6,bible,False
Nimrod,Nimrod,Nimrod,Gen 10:8,bible,False
Mizraim,Mizraim,Mizraim,Gen 10:14,bible,False
Casluh,Casluh,Casluh,1 Chronicles 1:12 (Philistines),bible,False
Japheth,Jafet,Japheth,Gen 10:1,bible,False
Asshur,Assur,Asshur,Gen 10:22,bible,False
Lud,Lud,Lud,Gen 10:22,bible,False
Aram,Aram,Aram,Gen 10:22,bible,False
Elam,Elam,Elam,Gen 10:22,bible,False
Joktan,Joktan,Joktan,Gen 10:26,bible,False
Almodad,Almodad,Almodad,Gen 10:26,bible,False
Sheleph,Sheleph,Sheleph,Gen 10:26,bible,False
Hazarmareth,Hazarmareth,Hazarmareth,Gen 10:26,bible,False
Jerah,Jerah,Jerah,Gen 10:26,bible,False
Hadoram,Hadoram,Hadoram,Gen 10:27,bible,False
Uzal,Uzal,Uzal,Gen 10:27,bible,False
Diklah_Obal,"Diklah, Obal","Diklah, Obal",Gen 10:27,bible,False
Abimael,Abimael,Abimael,Gen 10:28,bible,False
Sheba_Ophir,"Sheba, Ofir","Sheba, Ophir","Gen 10:28, 29",bible,False
Havilah,Havilah,Havilah,Gen 10:29,bible,False
Jobab,Jobab,Jobab,Gen 10:29,bible,False
Ham_fn,1) Egyptere: Salme 105:23,1) Egyptians: Psalms 105:23,2025-09-22,bible,False
Canaan_fn,2) Kanaaneerne: Josva 13:3,2) Canaanites: Joshua 13:3,2025-09-22,bible,False
Aram_fn,3) Arameere: Hosea 12:12,3) Arameans: Hosea 12:12,2025-09-22,bible,False
Elam_fn,4) Elamittene: Esra 4:9,4) Elamites: Ezra 4:9,2025-09-22,bible,False
Asshur_fn,5) Assyrere: Esekiel 27:23,5) Assyrians: Ezekiel 27:23,2025-09-22,bible,False
Casluh_fn,6) Filisterne: 1. Krønikebok 1:12,6) Philistines: 1 Chronicles 1:12,2025-09-22,bible,False
Cush_fn,7) Etiopisk [kusjitt]: 2. Kongebok 19:9,7) Ethiopian [Cushite]: 2 Kings 19:9,2025-09-22,bible,False
Edom_fn,8) Edomittene: 4. Mosebok 20:14-17,8) Edomites: Numbers 20:14-17,2025-09-22,bible,False
Moab_fn,"9) Moabitter: 5. Mosebok 23: 3, 4","9) Moabites: Deuteronomy 23:3, 4",2025-09-22,bible,False
Ammon_fn,10) Ammonitter: Josva 12:2,10) Ammonites: Joshua 12:2,2025-09-22,bible,False
Midian_fn,"11) Midjanittene: 4. Mosebok 31: 2, 3","11) Midianites: Numbers 31:2, 3",2025-09-22,bible,False
Amalek_fn,12) Amalekittene: 1 Samuel 15:2,12) Amalekites: 1 Samuel 15:2,2025-09-22,bible,False
Teman_fn,13) Temanitter: Job 42:7,13) Temanites: Job 42:7,2025-09-22,bible,False
Sidon_fn,14) Sidonerne: Sakarja 9:2,14) Sidonians: Zechariah 9:2,2025-09-22,bible,False
Heth_fn,15) Hettitter: 1. Mosebok 15:20,15) Hittites: Genesis 15:20,2025-09-22,bible,False
Jebusite_fn,16) Jebusittene: Josva 15:63,16) Jebusites: Joshua 15:63,2025-09-22,bible,False
Judith,Judith?,Judith?,"Genesis 26:34, 35",bible,False
Lud_fn,17) Lydians: 1. Krønikebok 1:17,17) Lydians: 1 Chronicles 1:17,"Jewish Antiquities, I, 143, 144 [vi, 4]",bible,False
Ishmael_fn,18) Ismaelitter: 1. Mosebok 37:27,18) Ishmaelites: Genesis 37:27,2025-09-22,bible,False
Amorite_fn,19) Amorittene: Dommerne 6:10,19) Amorites: Judges 6:10,2025-09-22,bible,False
Hivite_fn,"20) Hivitter [Gibeon]: Josva 9: ​​3, 7","20) Hivites [Gibeon]: Joshua 9:3, 7",Gibeonites,bible,False
Rehoboam,Rehabeam,Rehoboam,first king of southern kingdom of Juda,A6-A,False
Abijah,Abijah (Abijam),Abijah (Abijam),"3 years, also Abijam",A6-A,False
Asa,Som en,Asa, ,A6-A,False
Jehoshaphat,Josafat,Jehoshaphat,bce_float = -y+1 - (12-m)/12 – (31-d)/360,A6-A,False
Jehoram2,Joram,Jehoram, ,A6-A,False
Ahaziah,Ahasja,Ahaziah, ,A6-A,False
Athaliah,Dronning Athalia,Queen Athaliah,Queen Athaliah,A6-A,False
Jehoash,Joasj,Jehoash, ,A6-A,False
Amaziah,Amasja,Amaziah, ,A6-A,False
Uzziah,Ussia (Asarja),Uzziah (Azariah),also Azariah,A6-A,False
Jeroboam,Jeroboam,Jeroboam,first king of northern 10-tribe kingdom,A6-A,False
Nadab,Nadab,Nadab,less than 2,A6-A,False
Baasha,Basja,Baasha, ,A6-A,False
Elah,Elah,Elah, ,A6-A,False
Zimri,Zimri,Zimri,Only 7 days in ca. 751 BCE,A6-A,False
OmriTibni,Omri og Tibni sammen,Omri and Tibni together,4 years Omri and Tibni,A6-A,False
Omri,Omri (alene),Omri (alone),from 947 Omri alone,A6-A,False
Ahab,Akab,Ahab, ,A6-A,False
Jehoram,Joram,Jehoram, ,A6-A,False
Jehu,Jehu,Jehu, ,A6-A,False
Jeoahaz,Jeoahaz,Jeoahaz, ,A6-A,False
JeoahazJehoash,Jeoahaz og Joash,Jeoahaz and Jehoash,For 3 years Jeoahaz and Jeoash reigned together,A6-A,False
Jehoash2,Joash (alene),Jehoash (alone),Jehoash (alone),A6-A,False
Jeroboam2,Jeroboam II,Jeroboam II, ,A6-A,False
Elijah,Elias,Elijah, ,A6-A,False
Elisha,Elisha,Elisha, ,A6-A,False
Jonah,Jonas,Jonah, ,A6-A,False
Amos,Amos,Amos, ,A6-A,False
Joel,Joel,Joel, ,A6-A,False
Jotham,Jotham,Jotham, ,A6-B,False
Ahaz,Ahas,Ahaz, ,A6-B,False
Hezekiah,Hiskia,Hezekiah, ,A6-B,False
Manasseh,Manasse,Manasseh, ,A6-B,False
Amon,Amon,Amon, ,A6-B,False
Josiah,Josiah,Josiah, ,A6-B,False
Jehoahaz,Joahaz,Jehoahaz,Only 3 months,A6-B,False
Jehoiakim,Jojakim,Jehoiakim, ,A6-B,False
Jehoiachin,Jojakin,Jehoiachin,Only 3 months 10 days,A6-B,False
Zedekiah,Sidkiah,Zedekiah, ,A6-B,False
Zechariah,Sakarja,Zechariah,"reign only recorded 6 months, probably only established 792 BCE",A6-B,False
Schallum,Schallum,Schallum,only one month,A6-B,False
Menahem,Menahem,Menahem, ,A6-B,False
Pekahiah,Pekahiah,Pekahiah, ,A6-B,False
Pekah,Pekah,Pekah, ,A6-B,False
Hoshea,Hoshea,Hoshea,9 years from c. 748,A6-B,False
Hosea,Hosea,Hosea, ,A6-B,False
Isaiah,Jesaja,Isaiah, ,A6-B,False
Micah,Micah,Micah, ,A6-B,False
Zephaniah,Sefanja,Zephaniah, ,A6-B,False
Nahum,Nahum,Nahum, ,A6-B,False
Jeremiah,Jeremia,Jeremiah, ,A6-B,False
Habakuk,Habakuk,Habakuk, ,A6-B,False
Daniel,Daniel,Daniel, ,A6-B,False
Ezekiel,Esekiel,Ezekiel, ,A6-B,False
Obadiah,Obadja,Obadiah, ,A6-B,False
Babylon,"Daniel 2:32, 36-38; 7:4","Daniel 2:32, 36-38; 7:4", ,B9,False
Medopersia,"Daniel 2:32, 39; 7:5","Daniel 2:32, 39; 7:5", ,B9,False
Greece,"Daniel 2:32, 39; 7:6","Daniel 2:32, 39; 7:6", ,B9,False
Rome,"Daniel 2:33, 40; 7:7","Daniel 2:33, 40; 7:7", ,B9,False
Angloamerica,"Daniel 2:33, 41-43","Daniel 2:33, 41-43", ,B9,False
Babylon_c,Babylon,Babylon, ,B9,False
Medopersia_c,Medo-Persia,Medo-Persia, ,B9,False
Greece_c,Hellas,Greece, ,B9,False
Rome_c,Romerriket,Rome, ,B9,False
Angloamerica_c,Storbritannia og USA,Anglo-America, ,B9,False
daniel2_1,Kong Nebukadnesar,King Nebuchadnezzar,607 BCE,B9,False
daniel2_2,ødelegger Jerusalem,destroys Jerusalem, ,B9,False
daniel2_3,Erobrer Babylon,Conquers Babylon,539 BCE,B9,False
daniel2_4,Kyros-dekretene kommer tilbake,Cyrus decrees return,537 BCE,B9,False
daniel2_5,av jøder til Jerusalem,of Jews to Jerusalem, ,B9,False
daniel2_6,Alexander den store,Alexander the Great,331 BCE,B9,False
daniel2_7,erobrer Persia,conquers Persia, ,B9,False
daniel2_8,Hersker over Israel,Rules over Israel,63 BCE,B9,False
daniel2_9,ødelegger Jerusalem,Destroys Jerusalem,70 CE,B9,False
daniel2_10,"Under første verdenskrig,","During World War I,",1914-1918 CE,B9,False
daniel2_11,anglo-amerikansk verdensmakt,Anglo-American World Power, ,B9,False
daniel2_12,blir til,comes into being,End 4.2,B9,False
607BCE,607 f.Kr.,607 B.C.E.,accommodate for language,B9,False
539BCE,539 f.Kr.,539 B.C.E.,systems in style:,B9,False
537BCE,537 f.Kr.,537 B.C.E.,>>year 537 before time<<,B9,False
331BCE,331 f.Kr.,331 B.C.E.,so they need a word,B9,False
63BCE,63 f.Kr.,63 B.C.E.,prior to the year,B9,False
70CE,70 e.Kr.,70 C.E.,and something,B9,False
1914CE,1914–1918 e.Kr.,1914-1918 C.E.,after the year,B9,False
daniel2_shift,0,0,Start 4.2,float,False
7times,Åpenbaringen 12:9,Revelation 12:9, ,scripture,False
infliction2,Apostlenes gjerninger 7:6,Acts 7:6, ,scripture,False
eastern-zhou,770-256 f.Kr,770-256 BC, ,span_bc,False
430years,1943 – 1513 f.Kr.,1943 – 1513 B.C.E., ,span_bce,False
eastern-han,25-220 e.Kr,25-220 CE, ,span_ce,False
northern-dynasties,368-581 e.Kr,368-581 CE, ,span_ce,False
southern-dynasties,420-589 e.Kr,420-589 CE, ,span_ce,False
khmer_empire,804 – 1431,804 – 1431, ,timespan,True
byzantine_empire,330 – 1453,330 – 1453, ,timespan,True
ottoman_empire,1299 – 1922,1299 – 1922, ,timespan,True
holy_roman_empire,800 – 924,800 – 924, ,timespan,True
holy_roman_empire2,962 – 1806,962 – 1806,fixed 2024-12-31,timespan,True
inca_empire,1438 – 1533,1438 – 1533, ,timespan,True
gupta_empire,319 – 550,319 – 550, ,timespan,True
Umayyad,661 – 750,661 – 750, ,timespan,True
Abbasid,750 – 1258,750 – 1258, ,timespan,True
Mamluk,1250 – 1517,1250 – 1517, ,timespan,True
seljuk_empire,1037 – 1194,1037 – 1194,"Seljuk Empire 1037-1194, part of Seljuk dynasty 1037-1308",timespan,True
lombard,568 – 774,568 – 774,Kingdom of the Lombards 568-774,timespan,True
qing-dynasty,1636-1912,1636-1912, ,timespan,True
ming-dynasty,1368-1644,1368-1644, ,timespan,True
yuan-dynasty,1271-1368,1271-1368, ,timespan,True
southern-song,1127-1279,1127-1279, ,timespan,True
northern-song,960-1127,960-1127, ,timespan,True
western-xia,1038-1227,1038-1227, ,timespan,True
maya_classic,250–950,250–950, ,timespan,True
maya_postclassic,950-1539,950-1539, ,timespan,True
tran_dynasty,1225–1400,1225–1400, ,timespan,True
le_dynasty,1428–1527,1428–1527,triều Lê sơ or Vietnamese: nhà Lê sơ,timespan,True
revival_le_dynasty,1533-1789,1533-1789, ,timespan,True
nguyen_dynasty,1802 – 1883,1802 – 1883, ,timespan,True
edo,1603 – 1868,1603 – 1868, ,timespan,True
meiji,1868 – 1912,1868 – 1912, ,timespan,True
Julius,Julius,Julius, ,wiki,False
Caligula,Caligula,Caligula, ,wiki,False
Nero,Nero,Nero, ,wiki,False
Galba-Otho-Vitellius,"Galba, Otho og Vitellius (de fire keisernes år)","Galba, Otho and Vitellius (Year of the Four Emperors)", ,wiki,False
Vespasian,Vespasian,Vespasian, ,wiki,False
covid19,Covid-19,Covid-19, ,wiki,False
nicaea1,Første konsil i Nikea,First Council of Nicaea, ,wiki,False
oxyrhynchus,Oxyrhynchus Papyri,Oxyrhynchus Papyri, ,wiki,False
p52,Papyrus P52,Papyrus P52, ,wiki,False
qing-dynasty_c,Qing dynastiet,Qing dynasty,1636-1912,wiki,False
ming-dynasty_c,Ming-dynastiet i det keiserlige Kina,Ming dynasty in imperial China,1368-1644,wiki,False
yuan-dynasty_c,Yuan,Yuan,1271-1368,wiki,False
southern-song_c,Sørlig sang,Southern Song,1127-1279,wiki,False
northern-song_c,Nordlig sang,Northern Song,960-1127,wiki,False
western-xia_c,Vestlige Xia,Western Xia,1038-1227,wiki,False
Copernicus,Nicolaus Copernicus,Nicolaus Copernicus, ,wiki,False
Galileo,Galileo Galilei,Galileo Galilei,Galileo di Vincenzo Bonaiuti de' Galilei,wiki,False
Newton,Isaac Newton,Isaac Newton, ,wiki,False
shang-dynasty_c,Shang-dynastiet,Shang dynasty,c. 1600-1046 BC,wiki,False
western-zhou_c,Vestlige Zhou,Western Zhou,c. 1046-771 BC,wiki,False
eastern-zhou_c,Østlige Zhou,Eastern Zhou,770-256 BC,wiki,False
western-han_c,Vestlige Han,Western Han,207 BC – 9 CE,wiki,False
eastern-han_c,østlige Han,Eastern Han,25-220 CE,wiki,False
three-kingdoms_c,Kina,China,Three kingdoms 220-280 CE,wiki,False
sixteen-kingdoms_c,Kina,China,Sixteen kingdoms 304-439 CE,wiki,False
northern-dynasties_c,Nordlige dynastier,Northern dynasties,368-581 CE,wiki,False
southern-dynasties_c,Sørlige dynastier,Southern dynasties,420-589 CE,wiki,False
tang-dynasty2_c,Tang dynastiet,Tang dynasty,"618-690, 705-907",wiki,False
byzantine_empire_c,Bysantinske riket,Byzantine Empire, ,wiki,False
ottoman_empire_c,Det osmanske riket,Ottoman Empire, ,wiki,False
Genghis,Djengis Khan,Genghis Khan, ,wiki,False
inca_empire_c,Inka-imperiet,Inca empire, ,wiki,False
gupta_empire_c,Gupta-imperiet,Gupta Empire, ,wiki,False
Teotihuacan_c,Teotihuacan,Teotihuacan, ,wiki,False
Abbasid_c,Abbasid kalifat,Abbasid Caliphate, ,wiki,False
Mamluk_c,Mamluk-sultanatet,Mamluk Sultanate, ,wiki,False
Al-Ghazali,Al-Ghazali,Al-Ghazali,2024-07-30,wiki,False
wulfila,Wulfila Bibelen,Wulfila Bible,2025-09-20,wiki,False
tran_dynasty_c,Trần-dynastiet,Trần dynasty, ,wiki,False
le_dynasty_c,Lê-dynastiet,Lê dynasty, ,wiki,False
revival_le_dynasty_c,Trịnh-herrer og Nguyễn-herrer,Trịnh lords and Nguyễn lords,"Nhà Lê trung hưng, Revival Lê dynasty",wiki,False
seljuk_empire_c,Seljuks imperium,Seljuk empire, ,wiki,False
vandals_c,Vandaler,Vandals, ,wiki,False
lombard_c,Lombardriket,Lombard Kingdom,2025-10-13,wiki,False
people,mennesker,people, ,deprecated,False
judges,dommere,judges, ,deprecated,False
prophets,profeter,prophets, ,deprecated,False
kings,konger,kings, ,deprecated,False
periods,perioder,periods, ,deprecated,False
events,arrangementer,events, ,deprecated,False
objects,gjenstander eller gjenstander,objects or items, ,deprecated,False
event_destruction_samaria2,740 f.Kr. av Assyria,740 B.C.E. by Assyria,was shortened here for 2 lines,deprecated,False
photodrama,«Photo-Drama of Creation» vises første gang i New York 11. januar 1914,"The “Photo-Drama of Creation” is first shown in New York on January 11, 1914", ,deprecated,False
truth_book,"Boken ""Sannheten som fører til evig liv"" utgitt 1968",The book “The Truth That Leads to Eternal Life” released 1968, ,deprecated,False
metropolitan,Start av storbyvitne i 2011,Start of metropolitan witnessing in 2011, ,deprecated,False
jw_org,Start av JW.ORG med instruksjoner i rikets tjeneste desember 2012,Start of JW.ORG with instructions in kingdom ministry December 2012, ,deprecated,False
jw_broadcasting,Start av jw.broadcasting i oktober 2014,Start of jw.broadcasting in October 2014, ,deprecated,False
meeting_workbook,"Nytt format for midtukemøte med ""møtearbeidsbok"" fra januar 2016",New format of midweek meeting with “meeting workbook” starting January 2016, ,deprecated,False
Gatam,Gatam,Gatam, ,deprecated,False
Adbeel,Adbeel,Adbeel, ,deprecated,False
Mibsam,Mibsam,Mibsam, ,deprecated,False
Dumah,Dumah,Dumah, ,deprecated,False
Massa,Massa,Massa, ,deprecated,False
Babylon2,, ,no text left and right – empty!,deprecated,False
terahfam,medlemmer av Terahs familie,members of Terah’s family, ,deprecated,False
tang-dynasty1,, , ,deprecated,False
xia-dynasty,Xia-dynastiet i Kina ca. 2070 – ca. 1600 f.Kr,Xia dynasty in China c. 2070 – c. 1600 BC, ,deprecated,False
