key,text,english,notes,tag,checked
Diklah_Obal, ,"Diklah, Obal",Gen 10:27,bible,False
Abimael, ,Abimael,Gen 10:28,bible,False
Sheba_Ophir, ,"Sheba, Ophir","Gen 10:28, 29",bible,False
Havilah, ,Havilah,Gen 10:29,bible,False
Jobab, ,Jobab,Gen 10:29,bible,False
Ham_fn, ,1) Egyptians: Psalms 105:23,2025-09-22,bible,False
Canaan_fn, ,2) Canaanites: Joshua 13:3,2025-09-22,bible,False
Aram_fn, ,3) Arameans: Hosea 12:12,2025-09-22,bible,False
Elam_fn, ,4) Elamites: Ezra 4:9,2025-09-22,bible,False
Asshur_fn, ,5) Assyrians: Ezekiel 27:23,2025-09-22,bible,False
Casluh_fn, ,6) Philistines: 1 Chronicles 1:12,2025-09-22,bible,False
Cush_fn, ,7) Ethiopian [Cushite]: 2 Kings 19:9,2025-09-22,bible,False
Edom_fn, ,8) Edomites: Numbers 20:14-17,2025-09-22,bible,False
Moab_fn, ,"9) Moabites: Deuteronomy 23:3, 4",2025-09-22,bible,False
Ammon_fn, ,10) Ammonites: Joshua 12:2,2025-09-22,bible,False
Midian_fn, ,"11) Midianites: Numbers 31:2, 3",2025-09-22,bible,False
Amalek_fn, ,12) Amalekites: 1 Samuel 15:2,2025-09-22,bible,False
Teman_fn, ,13) Temanites: Job 42:7,2025-09-22,bible,False
Sidon_fn, ,14) Sidonians: Zechariah 9:2,2025-09-22,bible,False
Heth_fn, ,15) Hittites: Genesis 15:20,2025-09-22,bible,False
Jebusite_fn, ,16) Jebusites: Joshua 15:63,2025-09-22,bible,False
Judith, ,Judith?,"Genesis 26:34, 35",bible,False
Lud_fn, ,17) Lydians: 1 Chronicles 1:17,"Jewish Antiquities, I, 143, 144 [vi, 4]",bible,False
Ishmael_fn, ,18) Ishmaelites: Genesis 37:27,2025-09-22,bible,False
Amorite_fn, ,19) Amorites: Judges 6:10,2025-09-22,bible,False
Hivite_fn, ,"20) Hivites [Gibeon]: Joshua 9:3, 7",Gibeonites,bible,False
Cain,,Cain,"Genesis 4:1, son Enoch same name as other",bible,False
Abel,,Abel,Genesis 4:2,bible,False
Irad,,Irad,Genesis 4:18,bible,False
Mehujael,,Mehujael,Genesis 4:18,bible,False
Methushael,,Methushael,"Genesis 4:18, son Lamech same as other",bible,False
Jabal,,Jabal,"Genesis 4:20 living in tents, have livestock",bible,False
Jubal,,Jubal,Genesis 4:21 play harp and pipe,bible,False
Zillah,,Zillah,"Genesis 4:19, Adah is also a wife of Esau",bible,False
Tubal-cain,,Tubal-cain,Genesis 4:22 tool of copper and iron,bible,False
Naamah,,Naamah,Genesis 4:22 his sister,bible,False
Rehoboam,Riopoami,Rehoboam,first king of southern kingdom of Juda,A6-A,False
Abijah,Epaia (Abijam),Abijah (Abijam),"3 years, also Abijam",A6-A,False
Asa,Asa,Asa, ,A6-A,False
Jehoshaphat,Jiosafati,Jehoshaphat,bce_float = -y+1 - (12-m)/12 – (31-d)/360,A6-A,False
Jehoram2,Jehorama,Jehoram, ,A6-A,False
Ahaziah,Easaia,Ahaziah, ,A6-A,False
Athaliah,Ranadi Acalaia,Queen Athaliah,Queen Athaliah,A6-A,False
Jehoash,Jehoash,Jehoash, ,A6-A,False
Amaziah,Amasaia,Amaziah, ,A6-A,False
Uzziah,Usaia (Asaraia),Uzziah (Azariah),also Azariah,A6-A,False
Jeroboam,Jeropoami,Jeroboam,first king of northern 10-tribe kingdom,A6-A,False
Nadab,Netapi,Nadab,less than 2,A6-A,False
Baasha,Baasha,Baasha, ,A6-A,False
Elah,Elah,Elah, ,A6-A,False
Zimri,Zimri,Zimri,Only 7 days in ca. 751 BCE,A6-A,False
OmriTibni,Rau sa Tibni vata o Omri kei Tibni,Omri and Tibni together,4 years Omri and Tibni,A6-A,False
Omri,Omri (duadua),Omri (alone),from 947 Omri alone,A6-A,False
Ahab,Eapi,Ahab, ,A6-A,False
Jehoram,Jehorama,Jehoram, ,A6-A,False
Jehu,Jeu,Jehu, ,A6-A,False
Jeoahaz,Jeoahaz,Jeoahaz, ,A6-A,False
JeoahazJehoash,Jeoahaz kei Jehoasi,Jeoahaz and Jehoash,For 3 years Jeoahaz and Jeoash reigned together,A6-A,False
Jehoash2,Jehoash (duadua),Jehoash (alone),Jehoash (alone),A6-A,False
Jeroboam2,Jeroboami II,Jeroboam II, ,A6-A,False
Elijah,Ilaija,Elijah, ,A6-A,False
Elisha,Ilaisa,Elisha, ,A6-A,False
Jonah,Jona,Jonah, ,A6-A,False
Amos,Emosi,Amos, ,A6-A,False
Joel,Joeli,Joel, ,A6-A,False
Jotham,Jotham,Jotham, ,A6-B,False
Ahaz,Easi,Ahaz, ,A6-B,False
Hezekiah,Esekaia,Hezekiah, ,A6-B,False
Manasseh,Manasa,Manasseh, ,A6-B,False
Amon,Amoni,Amon, ,A6-B,False
Josiah,Josaia,Josiah, ,A6-B,False
Jehoahaz,Jehoahaz,Jehoahaz,Only 3 months,A6-B,False
Jehoiakim,Jioiakimi,Jehoiakim, ,A6-B,False
Jehoiachin,Jioiakini,Jehoiachin,Only 3 months 10 days,A6-B,False
Zedekiah,Setekaia,Zedekiah, ,A6-B,False
Zechariah,Sakaraia,Zechariah,"reign only recorded 6 months, probably only established 792 BCE",A6-B,False
Schallum,Schallum,Schallum,only one month,A6-B,False
Menahem,Menahem,Menahem, ,A6-B,False
Pekahiah,Pekahia,Pekahiah, ,A6-B,False
Pekah,Pekah,Pekah, ,A6-B,False
Hoshea,Hoshea,Hoshea,9 years from c. 748,A6-B,False
Hosea,Osea,Hosea, ,A6-B,False
Isaiah,Aisea,Isaiah, ,A6-B,False
Micah,Maika,Micah, ,A6-B,False
Zephaniah,Sefanaia,Zephaniah, ,A6-B,False
Nahum,Naumi,Nahum, ,A6-B,False
Jeremiah,Jeremaia,Jeremiah, ,A6-B,False
Habakuk,Apakuk,Habakuk, ,A6-B,False
Daniel,Taniela,Daniel, ,A6-B,False
Ezekiel,Isikeli,Ezekiel, ,A6-B,False
Obadiah,Opetaia,Obadiah, ,A6-B,False
Babylon,"Taniela 2:32, 36-38; 7:4","Daniel 2:32, 36-38; 7:4", ,B9,False
Medopersia,"Taniela 2:32, 39; 7:5","Daniel 2:32, 39; 7:5", ,B9,False
Greece,"Taniela 2:32, 39; 7:6","Daniel 2:32, 39; 7:6", ,B9,False
Rome,"Taniela 2:33, 40; 7:7","Daniel 2:33, 40; 7:7", ,B9,False
Angloamerica,"Taniela 2:33, 41-43","Daniel 2:33, 41-43", ,B9,False
Babylon_c,Papiloni,Babylon, ,B9,False
Medopersia_c,Medo-Perisia,Medo-Persia, ,B9,False
Greece_c,Kirisi,Greece, ,B9,False
Rome_c,Roma,Rome, ,B9,False
Angloamerica_c,Anglo-Amerika,Anglo-America, ,B9,False
daniel2_1,Tui Nepukanesa,King Nebuchadnezzar,607 BCE,B9,False
daniel2_2,vakarusa o Jerusalemi,destroys Jerusalem, ,B9,False
daniel2_3,Vakamalumalumutaki Papiloni,Conquers Babylon,539 BCE,B9,False
daniel2_4,Sa lesu mai o Sairusi,Cyrus decrees return,537 BCE,B9,False
daniel2_5,ni Jiu ki Jerusalemi,of Jews to Jerusalem, ,B9,False
daniel2_6,Alekisada na Ka Levu,Alexander the Great,331 BCE,B9,False
daniel2_7,vakamalumalumutaki Perisia,conquers Persia, ,B9,False
daniel2_8,Lawa vei Isireli,Rules over Israel,63 BCE,B9,False
daniel2_9,Vakarusai Jerusalemi,Destroys Jerusalem,70 CE,B9,False
daniel2_10,"Ena iKarua ni iValu Levu,","During World War I,",1914-1918 CE,B9,False
daniel2_11,Kaukauwa ni Vuravura na Anglo-Amerika,Anglo-American World Power, ,B9,False
daniel2_12,lako mai ki na,comes into being,End 4.2,B9,False
607BCE, ,607 B.C.E.,accommodate for language,B9,False
539BCE, ,539 B.C.E.,systems in style:,B9,False
537BCE, ,537 B.C.E.,>>year 537 before time<<,B9,False
331BCE, ,331 B.C.E.,so they need a word,B9,False
63BCE, ,63 B.C.E.,prior to the year,B9,False
70CE, ,70 C.E.,and something,B9,False
1914CE, ,1914-1918 C.E.,after the year,B9,False
daniel2_shift,0,0,Start 4.2,float,False
7times,Ai Vakatakila 12:9,Revelation 12:9, ,scripture,False
infliction2,Cakacaka 7:6,Acts 7:6, ,scripture,False
eastern-zhou,770-256 B.K.,770-256 BC, ,span_bc,False
430years, ,1943 – 1513 B.C.E., ,span_bce,False
eastern-han,25-220 NI S.K.,25-220 CE, ,span_ce,False
northern-dynasties,368-581 CE,368-581 CE, ,span_ce,False
southern-dynasties,420-589 CE,420-589 CE, ,span_ce,False
khmer_empire,804 – 1431,804 – 1431, ,timespan,True
byzantine_empire,330 – 1453,330 – 1453, ,timespan,True
ottoman_empire,1299 – 1922,1299 – 1922, ,timespan,True
holy_roman_empire,800 – 924,800 – 924, ,timespan,True
holy_roman_empire2,962 – 1806,962 – 1806,fixed 2024-12-31,timespan,True
inca_empire,1438 – 1533,1438 – 1533, ,timespan,True
gupta_empire,319 – 550,319 – 550, ,timespan,True
Umayyad,661 – 750,661 – 750, ,timespan,True
Abbasid,750 – 1258,750 – 1258, ,timespan,True
Mamluk,1250 – 1517,1250 – 1517, ,timespan,True
seljuk_empire,1037 – 1194,1037 – 1194,"Seljuk Empire 1037-1194, part of Seljuk dynasty 1037-1308",timespan,True
lombard,568 – 774,568 – 774,Kingdom of the Lombards 568-774,timespan,True
qing-dynasty,1636-1912,1636-1912, ,timespan,True
ming-dynasty,1368-1644,1368-1644, ,timespan,True
yuan-dynasty,1271-1368,1271-1368, ,timespan,True
southern-song,1127-1279,1127-1279, ,timespan,True
northern-song,960-1127,960-1127, ,timespan,True
western-xia,1038-1227,1038-1227, ,timespan,True
maya_classic,250–950,250–950, ,timespan,True
maya_postclassic,950-1539,950-1539, ,timespan,True
tran_dynasty,1225–1400,1225–1400, ,timespan,True
le_dynasty,1428–1527,1428–1527,triều Lê sơ or Vietnamese: nhà Lê sơ,timespan,True
revival_le_dynasty,1533-1789,1533-1789, ,timespan,True
nguyen_dynasty,1802 – 1883,1802 – 1883, ,timespan,True
edo,1603 – 1868,1603 – 1868, ,timespan,True
meiji,1868 – 1912,1868 – 1912, ,timespan,True
Julius,Julius,Julius, ,wiki,False
Caligula,Caligula,Caligula, ,wiki,False
Nero,Nero,Nero, ,wiki,False
Galba-Otho-Vitellius,"Kalapa, Ocio kei Vitellius (Nodratou Yabaki na Empara e Va)","Galba, Otho and Vitellius (Year of the Four Emperors)", ,wiki,False
Vespasian,Vespasian,Vespasian, ,wiki,False
covid19,Covid-19,Covid-19, ,wiki,False
nicaea1,iMatai ni Matabose e Nicaea,First Council of Nicaea, ,wiki,False
oxyrhynchus,Oxyrhynchus Papyri,Oxyrhynchus Papyri, ,wiki,False
p52,Papyrus P52,Papyrus P52, ,wiki,False
qing-dynasty_c,Veiliutaki nei Qing,Qing dynasty,1636-1912,wiki,False
ming-dynasty_c,Veiliutaki nei Ming ena matanitu o Jaina,Ming dynasty in imperial China,1368-1644,wiki,False
yuan-dynasty_c,Yuan,Yuan,1271-1368,wiki,False
southern-song_c,Sere ena Ceva,Southern Song,1127-1279,wiki,False
northern-song_c,Sere ena Vualiku,Northern Song,960-1127,wiki,False
western-xia_c,Ra kei Xia,Western Xia,1038-1227,wiki,False
Copernicus,Nicolaus Copernicus,Nicolaus Copernicus, ,wiki,False
Galileo,Kalilio Kalili,Galileo Galilei,Galileo di Vincenzo Bonaiuti de' Galilei,wiki,False
Newton,Isaac Newton,Isaac Newton, ,wiki,False
shang-dynasty_c,Matanitu Shang,Shang dynasty,c. 1600-1046 BC,wiki,False
western-zhou_c,Ra kei Zhou,Western Zhou,c. 1046-771 BC,wiki,False
eastern-zhou_c,Tokalau kei Zhou,Eastern Zhou,770-256 BC,wiki,False
western-han_c,Ra kei Han,Western Han,207 BC – 9 CE,wiki,False
eastern-han_c,Tokalau kei Han,Eastern Han,25-220 CE,wiki,False
three-kingdoms_c,Jaina,China,Three kingdoms 220-280 CE,wiki,False
sixteen-kingdoms_c,Jaina,China,Sixteen kingdoms 304-439 CE,wiki,False
northern-dynasties_c,Matanitu ena Vualiku,Northern dynasties,368-581 CE,wiki,False
southern-dynasties_c,Matanitu ena Ceva,Southern dynasties,420-589 CE,wiki,False
tang-dynasty2_c,Veiliutaki nei Tang,Tang dynasty,"618-690, 705-907",wiki,False
byzantine_empire_c, ,Byzantine Empire, ,wiki,False
ottoman_empire_c, ,Ottoman Empire, ,wiki,False
Genghis, ,Genghis Khan, ,wiki,False
inca_empire_c, ,Inca empire, ,wiki,False
gupta_empire_c, ,Gupta Empire, ,wiki,False
Teotihuacan_c, ,Teotihuacan, ,wiki,False
Abbasid_c, ,Abbasid Caliphate, ,wiki,False
Mamluk_c, ,Mamluk Sultanate, ,wiki,False
Al-Ghazali, ,Al-Ghazali,2024-07-30,wiki,False
wulfila, ,Wulfila Bible,2025-09-20,wiki,False
tran_dynasty_c, ,Trần dynasty, ,wiki,False
le_dynasty_c, ,Lê dynasty, ,wiki,False
revival_le_dynasty_c, ,Trịnh lords and Nguyễn lords,"Nhà Lê trung hưng, Revival Lê dynasty",wiki,False
seljuk_empire_c, ,Seljuk empire, ,wiki,False
vandals_c, ,Vandals, ,wiki,False
lombard_c, ,Lombard Kingdom,2025-10-13,wiki,False
people,tamata,people, ,deprecated,False
judges,turaganilewa,judges, ,deprecated,False
prophets,parofita,prophets, ,deprecated,False
kings,tui,kings, ,deprecated,False
periods,gauna,periods, ,deprecated,False
events,veika a yaco,events, ,deprecated,False
objects,iyaya se iyaya,objects or items, ,deprecated,False
event_destruction_samaria2,740 B.S.K. mai vei Assyria,740 B.C.E. by Assyria,was shortened here for 2 lines,deprecated,False
photodrama,"Na ""Photo-Drama of Creation"" e vakaraitaki taumada mai Ni'u Ioka ena ika 11 ni Janueri, 1914","The “Photo-Drama of Creation” is first shown in New York on January 11, 1914", ,deprecated,False
truth_book,"Na ivola ""The Truth That Leads to Eternal Life"" ka vagalalataki ena 1968",The book “The Truth That Leads to Eternal Life” released 1968, ,deprecated,False
metropolitan,Tekivu ni metropolitan witnessing ena 2011,Start of metropolitan witnessing in 2011, ,deprecated,False
jw_org,Tekivu ni JW.ORG kei na ivakasala ena cakacaka vakaitalatala ni matanitu Tiseba 2012,Start of JW.ORG with instructions in kingdom ministry December 2012, ,deprecated,False
jw_broadcasting,Tekivu ni jw.broadcasting ena Okotova 2014,Start of jw.broadcasting in October 2014, ,deprecated,False
meeting_workbook,"Ituvatuva vou ni bose ena loma ni macawa kei na ""ivola ni cakacaka ni soqoni"" tekivu ena Janueri 2016",New format of midweek meeting with “meeting workbook” starting January 2016, ,deprecated,False
Gatam,Gatam,Gatam, ,deprecated,False
Adbeel,Adbeel,Adbeel, ,deprecated,False
Mibsam,Mibsam,Mibsam, ,deprecated,False
Dumah,Dumah,Dumah, ,deprecated,False
Massa,Mase,Massa, ,deprecated,False
Babylon2, , ,no text left and right – empty!,deprecated,False
terahfam,lewe ni matavuvale nei Terah,members of Terah’s family, ,deprecated,False
tang-dynasty1, , , ,deprecated,False
xia-dynasty,Xia vaka-Jaina c. 2070 – c. 1600 B.K.,Xia dynasty in China c. 2070 – c. 1600 BC, ,deprecated,False
